year,nuts_id,nuts_year_spec,aps_nvq4_education_data
2019,UKJ44,2016,35.4
2013,UKJ45,2013,32.4
2014,UKJ45,2013,37.1
2015,UKJ45,2013,36.5
2016,UKJ45,2016,41.9
2017,UKJ45,2016,34.7
2018,UKJ45,2016,35.7
2019,UKJ45,2016,40.5
2013,UKJ46,2013,50.7
2014,UKJ46,2013,46.2
2015,UKJ46,2013,45.7
2016,UKJ46,2016,41.4
2017,UKJ46,2016,40.2
2018,UKJ46,2016,45.5
2019,UKJ46,2016,49.5
2012,UKK11,2010,50.0
2013,UKK11,2013,48.6
2014,UKK11,2013,51.0
2015,UKK11,2013,54.3
2016,UKK11,2016,54.9
2017,UKK11,2016,60.6
2018,UKK11,2016,56.1
2019,UKK11,2016,57.4
2012,UKK12,2010,38.1
2013,UKK12,2013,37.6
2014,UKK12,2013,40.2
2015,UKK12,2013,43.1
2016,UKK12,2016,43.3
2017,UKK12,2016,47.1
2018,UKK12,2016,47.8
2019,UKK12,2016,44.1
2012,UKK13,2010,39.7
2013,UKK13,2013,38.0
2014,UKK13,2013,43.0
2015,UKK13,2013,43.9
2016,UKK13,2016,39.9
2017,UKK13,2016,41.9
2018,UKK13,2016,42.5
2019,UKK13,2016,45.2
2012,UKK14,2010,32.8
2013,UKK14,2013,31.5
2014,UKK14,2013,33.2
2015,UKK14,2013,31.8
2016,UKK14,2016,36.4
2017,UKK14,2016,36.6
2018,UKK14,2016,34.0
2019,UKK14,2016,38.3
2012,UKK15,2010,39.8
2013,UKK15,2013,41.6
2014,UKK15,2013,42.4
2015,UKK15,2013,40.5
2016,UKK15,2016,46.7
2017,UKK15,2016,45.5
2018,UKK15,2016,43.6
2019,UKK15,2016,41.5
2012,UKK21,2010,33.2
2013,UKK21,2013,35.5
2014,UKK21,2013,37.1
2015,UKK21,2013,40.8
2016,UKK21,2016,39.6
2017,UKK21,2016,40.3
2018,UKK21,2016,39.9
2019,UKK21,2016,42.6
2012,UKK22,2010,37.1
2013,UKK22,2013,39.1
2014,UKK22,2013,39.0
2015,UKK22,2013,35.2
2016,UKK22,2016,37.9
2017,UKK22,2016,33.8
2018,UKK22,2016,36.4
2019,UKK22,2016,38.2
2012,UKK23,2010,32.2
2013,UKK23,2013,28.4
2014,UKK23,2013,34.6
2015,UKK23,2013,38.7
2016,UKK23,2016,38.1
2017,UKK23,2016,36.6
2018,UKK23,2016,36.5
2019,UKK23,2016,38.3
2012,UKK30,2010,34.3
2013,UKK30,2013,34.7
2014,UKK30,2013,35.6
2015,UKK30,2013,32.6
2016,UKK30,2016,35.9
2017,UKK30,2016,36.6
2018,UKK30,2016,37.7
2019,UKK30,2016,38.4
2012,UKK41,2010,30.2
2013,UKK41,2013,32.7
2014,UKK41,2013,33.5
2015,UKK41,2013,32.4
2016,UKK41,2016,36.9
2017,UKK41,2016,35.8
2018,UKK41,2016,33.8
2019,UKK41,2016,34.9
2012,UKK42,2010,32.0
2013,UKK42,2013,29.2
2014,UKK42,2013,28.9
2015,UKK42,2013,28.6
2016,UKK42,2016,28.4
2017,UKK42,2016,32.0
2018,UKK42,2016,31.4
2019,UKK42,2016,34.2
2012,UKK43,2010,37.7
2013,UKK43,2013,37.5
2014,UKK43,2013,39.3
2015,UKK43,2013,43.5
2016,UKK43,2016,41.3
2017,UKK43,2016,42.9
2018,UKK43,2016,42.5
2019,UKK43,2016,40.6
2012,UKL11,2010,35.7
2013,UKL11,2013,36.2
2014,UKL11,2013,41.8
2015,UKL11,2013,37.5
2016,UKL11,2016,38.6
2017,UKL11,2016,43.9
2018,UKL11,2016,40.1
2019,UKL11,2016,41.8
2012,UKL12,2010,33.7
2013,UKL12,2013,38.0
2014,UKL12,2013,37.8
2015,UKL12,2013,38.3
2016,UKL12,2016,38.7
2017,UKL12,2016,39.9
2018,UKL12,2016,40.4
2019,UKL12,2016,40.3
2012,UKL13,2010,34.5
2013,UKL13,2013,36.5
2014,UKL13,2013,40.0
2015,UKL13,2013,40.8
2016,UKL13,2016,39.8
2017,UKL13,2016,40.7
2018,UKL13,2016,37.7
2019,UKL13,2016,38.3
2012,UKL14,2010,35.7
2013,UKL14,2013,35.4
2014,UKL14,2013,35.4
2015,UKL14,2013,36.7
2016,UKL14,2016,38.0
2017,UKL14,2016,36.6
2018,UKL14,2016,39.2
2019,UKL14,2016,41.3
2012,UKL15,2010,28.5
2013,UKL15,2013,28.7
2014,UKL15,2013,30.7
2015,UKL15,2013,34.0
2016,UKL15,2016,36.1
2017,UKL15,2016,34.3
2018,UKL15,2016,32.5
2019,UKL15,2016,37.7
2012,UKL16,2010,26.6
2013,UKL16,2013,27.5
2014,UKL16,2013,28.9
2015,UKL16,2013,31.1
2016,UKL16,2016,34.2
2017,UKL16,2016,32.7
2018,UKL16,2016,32.0
2019,UKL16,2016,33.3
2012,UKL17,2010,30.3
2013,UKL17,2013,33.3
2014,UKL17,2013,34.1
2015,UKL17,2013,33.9
2016,UKL17,2016,38.9
2017,UKL17,2016,34.3
2018,UKL17,2016,35.8
2019,UKL17,2016,35.7
2012,UKL18,2010,40.0
2013,UKL18,2013,36.7
2014,UKL18,2013,37.8
2015,UKL18,2013,38.9
2016,UKL18,2016,40.1
2017,UKL18,2016,39.1
2018,UKL18,2016,40.3
2019,UKL18,2016,42.2
2012,UKL21,2010,38.1
2013,UKL21,2013,42.1
2014,UKL21,2013,42.7
2015,UKL21,2013,41.7
2016,UKL21,2016,40.7
2017,UKL21,2016,44.0
2018,UKL21,2016,43.5
2019,UKL21,2016,43.9
2012,UKL22,2010,45.2
2013,UKL22,2013,45.2
2014,UKL22,2013,49.9
2015,UKL22,2013,49.3
2016,UKL22,2016,53.2
2017,UKL22,2016,55.3
2018,UKL22,2016,53.5
2019,UKL22,2016,53.2
2012,UKL23,2010,32.1
2013,UKL23,2013,32.4
2014,UKL23,2013,34.4
2015,UKL23,2013,36.9
2016,UKL23,2016,33.1
2017,UKL23,2016,33.1
2018,UKL23,2016,34.3
2019,UKL23,2016,34.5
2012,UKL24,2010,36.0
2013,UKL24,2013,35.6
2014,UKL24,2013,37.0
2015,UKL24,2013,40.2
2016,UKL24,2016,42.4
2017,UKL24,2016,38.5
2018,UKL24,2016,40.1
2019,UKL24,2016,42.4
2012,UKM21,2010,41.6
2013,UKM21,2013,42.3
2014,UKM21,2013,44.6
2015,UKM21,2013,43.8
2012,UKM22,2010,43.2
2013,UKM22,2013,43.7
2014,UKM22,2013,43.9
2015,UKM22,2013,46.0
2012,UKM23,2010,42.8
2013,UKM23,2013,41.4
2014,UKM23,2013,46.0
2015,UKM23,2013,45.2
2012,UKM24,2010,41.3
2013,UKM24,2013,41.0
2014,UKM24,2013,42.0
2015,UKM24,2013,44.9
2012,UKM25,2010,62.1
2013,UKM25,2013,59.4
2014,UKM25,2013,65.0
2015,UKM25,2013,64.2
2012,UKM26,2010,35.6
2013,UKM26,2013,35.5
2014,UKM26,2013,37.5
2015,UKM26,2013,39.8
2012,UKM27,2010,44.0
2013,UKM27,2013,45.6
2014,UKM27,2013,48.3
2015,UKM27,2013,50.2
2012,UKM28,2010,39.1
2013,UKM28,2013,40.2
2014,UKM28,2013,38.7
2015,UKM28,2013,39.7
2012,UKM31,2010,45.9
2013,UKM31,2013,46.6
2014,UKM31,2013,48.4
2015,UKM31,2013,48.7
2012,UKM32,2010,31.4
2013,UKM32,2013,33.5
2014,UKM32,2013,31.7
2015,UKM32,2013,33.6
2012,UKM33,2010,30.7
2013,UKM33,2013,35.2
2014,UKM33,2013,38.3
2015,UKM33,2013,40.4
2012,UKM34,2010,47.3
2013,UKM34,2013,48.7
2014,UKM34,2013,49.3
2015,UKM34,2013,54.3
2012,UKM35,2010,46.6
2013,UKM35,2013,47.3
2014,UKM35,2013,48.4
2015,UKM35,2013,50.8
2012,UKM36,2010,32.5
2013,UKM36,2013,33.4
2014,UKM36,2013,36.8
2015,UKM36,2013,37.8
2012,UKM37,2010,37.5
2013,UKM37,2013,39.0
2014,UKM37,2013,42.5
2015,UKM37,2013,44.4
2012,UKM38,2010,39.2
2013,UKM38,2013,38.3
2014,UKM38,2013,41.5
2015,UKM38,2013,40.9
2012,UKM50,2010,41.9
2013,UKM50,2013,43.5
2014,UKM50,2013,47.4
2015,UKM50,2013,49.7
2016,UKM50,2016,50.0
2017,UKM50,2016,48.9
2018,UKM50,2016,48.8
2019,UKM50,2016,54.6
2012,UKM61,2010,36.7
2013,UKM61,2013,37.8
2014,UKM61,2013,38.4
2015,UKM61,2013,40.6
2016,UKM61,2016,39.4
2017,UKM61,2016,43.1
2018,UKM61,2016,44.6
2019,UKM61,2016,46.1
2012,UKM62,2010,35.5
2013,UKM62,2013,41.3
2014,UKM62,2013,41.2
2015,UKM62,2013,40.1
2016,UKM62,2016,44.8
2017,UKM62,2016,43.2
2018,UKM62,2016,45.3
2019,UKM62,2016,48.2
2012,UKM63,2010,37.1
2013,UKM63,2013,34.9
2014,UKM63,2013,34.4
2015,UKM63,2013,36.4
2016,UKM63,2016,41.2
2017,UKM63,2016,41.4
2018,UKM63,2016,43.7
2019,UKM63,2016,41.0
2012,UKM64,2010,40.7
2013,UKM64,2013,43.5
2014,UKM64,2013,44.6
2015,UKM64,2013,44.6
2016,UKM64,2016,47.6
2017,UKM64,2016,45.4
2018,UKM64,2016,48.0
2019,UKM64,2016,42.5
2012,UKM65,2010,27.6
2013,UKM65,2013,29.3
2014,UKM65,2013,24.1
2015,UKM65,2013,34.6
2016,UKM65,2016,40.4
2017,UKM65,2016,34.9
2018,UKM65,2016,44.3
2019,UKM65,2016,46.7
2012,UKM66,2010,38.4
2013,UKM66,2013,32.5
2014,UKM66,2013,40.0
2015,UKM66,2013,45.9
2016,UKM66,2016,45.8
2017,UKM66,2016,42.0
2018,UKM66,2016,31.1
2019,UKM66,2016,21.5
2016,UKM71,2016,46.7
2017,UKM71,2016,44.5
2018,UKM71,2016,47.7
2019,UKM71,2016,47.9
2016,UKM72,2016,48.3
2017,UKM72,2016,47.6
2018,UKM72,2016,46.3
2019,UKM72,2016,47.2
2016,UKM73,2016,46.1
2017,UKM73,2016,47.6
2018,UKM73,2016,47.3
2019,UKM73,2016,47.6
2016,UKM75,2016,67.1
2017,UKM75,2016,63.6
2018,UKM75,2016,63.7
2019,UKM75,2016,62.7
2016,UKM76,2016,39.5
2017,UKM76,2016,40.2
2018,UKM76,2016,38.5
2019,UKM76,2016,42.5
2016,UKM77,2016,52.3
2017,UKM77,2016,50.3
2018,UKM77,2016,55.1
2019,UKM77,2016,52.6
2016,UKM78,2016,41.4
2017,UKM78,2016,38.1
2018,UKM78,2016,41.9
2019,UKM78,2016,40.8
2016,UKM81,2016,54.3
2017,UKM81,2016,50.0
2018,UKM81,2016,52.0
2019,UKM81,2016,53.1
2016,UKM82,2016,52.0
2017,UKM82,2016,54.2
2018,UKM82,2016,53.0
2019,UKM82,2016,52.8
2016,UKM83,2016,49.7
2017,UKM83,2016,48.3
2018,UKM83,2016,47.8
2019,UKM83,2016,53.9
2016,UKM84,2016,37.1
2017,UKM84,2016,39.1
2018,UKM84,2016,36.0
2019,UKM84,2016,43.1
2016,UKM91,2016,43.2
2017,UKM91,2016,42.9
2018,UKM91,2016,45.0
2019,UKM91,2016,45.9
2016,UKM92,2016,34.0
2017,UKM92,2016,37.0
2018,UKM92,2016,38.8
2019,UKM92,2016,40.2
2016,UKM93,2016,41.3
2017,UKM93,2016,43.5
2018,UKM93,2016,43.1
2019,UKM93,2016,43.4
2016,UKM94,2016,43.7
2017,UKM94,2016,46.7
2018,UKM94,2016,49.7
2019,UKM94,2016,50.1
2016,UKM95,2016,45.9
2017,UKM95,2016,45.4
2018,UKM95,2016,43.4
2019,UKM95,2016,45.3
