year,nuts_id,nuts_year_spec,epo_patent_applications
2011,UKM23,2010,3.0
2011,UKM24,2010,9.0
2011,UKM25,2010,87.0
2011,UKM26,2010,4.0
2011,UKM27,2010,8.0
2011,UKM28,2010,8.0
2011,UKM31,2010,4.0
2011,UKM32,2010,4.0
2011,UKM33,2010,3.0
2011,UKM34,2010,57.0
2011,UKM35,2010,65.0
2011,UKM36,2010,5.0
2011,UKM37,2010,4.0
2011,UKM38,2010,6.0
2011,UKM50,2010,46.0
2011,UKM61,2010,5.0
2011,UKM62,2010,6.0
2011,UKM63,2010,2.0
2011,UKM64,2010,1.0
2011,UKM65,2010,
2011,UKM66,2010,
2011,UKN01,2010,33.0
2011,UKN02,2010,23.0
2011,UKN03,2010,21.0
2011,UKN04,2010,7.0
2011,UKN05,2010,46.0
2010,UKC11,2010,4.0
2010,UKC12,2010,1.0
2010,UKC13,2010,14.0
2010,UKC14,2010,12.0
2010,UKC21,2010,38.0
2010,UKC22,2010,39.0
2010,UKC23,2010,8.0
2010,UKD11,2010,2.0
2010,UKD12,2010,13.0
2010,UKD41,2010,21.0
2010,UKD42,2010,16.0
2010,UKD61,2010,16.0
2010,UKD62,2010,53.0
2010,UKD63,2010,45.0
2010,UKD71,2010,29.0
2010,UKD72,2010,40.0
2010,UKD73,2010,12.0
2010,UKD74,2010,11.0
2010,UKE11,2010,83.0
2010,UKE12,2010,21.0
2010,UKE13,2010,28.0
2010,UKE21,2010,21.0
2010,UKE22,2010,52.0
2010,UKE31,2010,43.0
2010,UKE32,2010,36.0
2010,UKE41,2010,21.0
2010,UKE42,2010,104.0
2010,UKE44,2010,65.0
2010,UKE45,2010,33.0
2010,UKF11,2010,10.0
2010,UKF12,2010,53.0
2010,UKF13,2010,29.0
2010,UKF14,2010,25.0
2010,UKF15,2010,24.0
2010,UKF16,2010,60.0
2010,UKF21,2010,23.0
2010,UKF22,2010,74.0
2010,UKF24,2010,27.0
2010,UKF25,2010,46.0
2010,UKF30,2010,34.0
2010,UKG11,2010,20.0
2010,UKG12,2010,82.0
2010,UKG13,2010,81.0
2010,UKG21,2010,11.0
2010,UKG22,2010,13.0
2010,UKG23,2010,16.0
2010,UKG24,2010,79.0
2010,UKG31,2010,98.0
2010,UKG32,2010,16.0
2010,UKG33,2010,37.0
2010,UKG36,2010,12.0
2010,UKG37,2010,14.0
2010,UKG38,2010,26.0
2010,UKG39,2010,18.0
2010,UKH11,2010,20.0
2010,UKH12,2010,151.0
2010,UKH14,2010,48.0
2010,UKH21,2010,16.0
2010,UKH23,2010,248.0
2010,UKH24,2010,15.0
2010,UKH25,2010,16.0
2010,UKH31,2010,15.0
2010,UKH32,2010,8.0
2010,UKJ11,2010,214.0
2010,UKJ12,2010,24.0
2010,UKJ13,2010,111.0
2010,UKJ14,2010,166.0
2010,UKJ21,2010,30.0
2010,UKJ22,2010,56.0
2010,UKJ31,2010,6.0
2010,UKJ32,2010,27.0
2010,UKJ34,2010,15.0
2010,UKJ41,2010,9.0
2010,UKK11,2010,58.0
2010,UKK12,2010,53.0
2010,UKK13,2010,86.0
2010,UKK14,2010,28.0
2010,UKK15,2010,49.0
2010,UKK21,2010,41.0
2010,UKK22,2010,33.0
2010,UKK23,2010,50.0
2010,UKK30,2010,35.0
2010,UKK41,2010,21.0
2010,UKK42,2010,4.0
2010,UKK43,2010,48.0
2010,UKL11,2010,1.0
2010,UKL12,2010,9.0
2010,UKL13,2010,4.0
2010,UKL14,2010,12.0
2010,UKL15,2010,8.0
2010,UKL16,2010,11.0
2010,UKL17,2010,16.0
2010,UKL18,2010,2.0
2010,UKL21,2010,6.0
2010,UKL22,2010,29.0
2010,UKL23,2010,12.0
2010,UKL24,2010,3.0
2010,UKM21,2010,13.0
2010,UKM22,2010,10.0
2010,UKM23,2010,4.0
2010,UKM24,2010,6.0
2010,UKM25,2010,93.0
2010,UKM26,2010,3.0
2010,UKM27,2010,4.0
2010,UKM28,2010,11.0
2010,UKM31,2010,6.0
2010,UKM32,2010,6.0
2010,UKM33,2010,2.0
2010,UKM34,2010,43.0
2010,UKM35,2010,43.0
2010,UKM36,2010,14.0
2010,UKM37,2010,2.0
2010,UKM38,2010,11.0
2010,UKM50,2010,32.0
2010,UKM61,2010,5.0
2010,UKM62,2010,3.0
2010,UKM63,2010,4.0
2010,UKM64,2010,1.0
2010,UKM65,2010,
2010,UKM66,2010,
2010,UKN01,2010,24.0
2010,UKN02,2010,19.0
2010,UKN03,2010,32.0
2010,UKN04,2010,6.0
2010,UKN05,2010,18.0
2009,UKC11,2010,7.0
2009,UKC12,2010,15.0
2009,UKC13,2010,5.0
2009,UKC14,2010,20.0
2009,UKC21,2010,17.0
2009,UKC22,2010,29.0
2009,UKC23,2010,10.0
