year,nuts_id,nuts_year_spec,eu_trademark_applications
2002,UKD7,2013,55
2002,UKE1,2013,40
2002,UKE2,2013,65
2002,UKE3,2013,46
2002,UKE4,2013,138
2002,UKF1,2013,155
2002,UKF2,2013,142
2002,UKF3,2013,22
2002,UKG1,2013,92
2002,UKG2,2013,45
2002,UKG3,2013,127
2002,UKH1,2013,240
2002,UKH2,2013,221
2002,UKH3,2013,72
2002,UKI3,2013,1187
2002,UKI4,2013,347
2002,UKI5,2013,60
2002,UKI6,2013,69
2002,UKI7,2013,335
2002,UKJ1,2013,436
2002,UKJ2,2013,321
2002,UKJ3,2013,169
2002,UKJ4,2013,87
2002,UKK1,2013,155
2002,UKK2,2013,74
2002,UKK3,2013,15
2002,UKK4,2013,21
2002,UKL1,2013,40
2002,UKL2,2013,32
2002,UKM2,2013,161
2002,UKM3,2013,104
2002,UKM5,2013,15
2002,UKM6,2013,12
2002,UKN0,2013,47
2001,UKC1,2013,10
2001,UKC2,2013,35
2001,UKD1,2013,11
2001,UKD3,2013,189
2001,UKD4,2013,87
2001,UKD6,2013,59
2001,UKD7,2013,51
2001,UKE1,2013,36
2001,UKE2,2013,64
2001,UKE3,2013,59
2001,UKE4,2013,128
2001,UKF1,2013,134
2001,UKF2,2013,121
2001,UKF3,2013,20
2001,UKG1,2013,83
2001,UKG2,2013,59
2001,UKG3,2013,144
2001,UKH1,2013,248
2001,UKH2,2013,234
2001,UKH3,2013,84
2001,UKI3,2013,1358
2001,UKI4,2013,373
2001,UKI5,2013,60
2001,UKI6,2013,74
2001,UKI7,2013,269
2001,UKJ1,2013,513
2001,UKJ2,2013,311
2001,UKJ3,2013,148
2001,UKJ4,2013,67
2001,UKK1,2013,230
2001,UKK2,2013,52
2001,UKK3,2013,23
2001,UKK4,2013,22
2001,UKL1,2013,39
2001,UKL2,2013,32
2001,UKM2,2013,127
2001,UKM3,2013,117
2001,UKM5,2013,32
2001,UKM6,2013,9
2001,UKN0,2013,59
2000,UKC1,2013,32
2000,UKC2,2013,34
2000,UKD1,2013,24
2000,UKD3,2013,236
2000,UKD4,2013,61
2000,UKD6,2013,94
2000,UKD7,2013,67
2000,UKE1,2013,21
2000,UKE2,2013,79
2000,UKE3,2013,87
2000,UKE4,2013,166
2000,UKF1,2013,149
2000,UKF2,2013,134
2000,UKF3,2013,27
2000,UKG1,2013,125
2000,UKG2,2013,76
2000,UKG3,2013,176
2000,UKH1,2013,296
2000,UKH2,2013,287
2000,UKH3,2013,107
2000,UKI3,2013,2036
2000,UKI4,2013,601
2000,UKI5,2013,59
2000,UKI6,2013,104
2000,UKI7,2013,388
2000,UKJ1,2013,547
2000,UKJ2,2013,396
2000,UKJ3,2013,188
2000,UKJ4,2013,89
2000,UKK1,2013,208
2000,UKK2,2013,65
2000,UKK3,2013,18
2000,UKK4,2013,36
2000,UKL1,2013,46
2000,UKL2,2013,61
2000,UKM2,2013,166
2000,UKM3,2013,128
2000,UKM5,2013,22
2000,UKM6,2013,4
2000,UKN0,2013,45
1999,UKC1,2013,20
1999,UKC2,2013,26
1999,UKD1,2013,25
1999,UKD3,2013,160
1999,UKD4,2013,56
1999,UKD6,2013,64
1999,UKD7,2013,50
1999,UKE1,2013,37
1999,UKE2,2013,39
1999,UKE3,2013,52
1999,UKE4,2013,118
1999,UKF1,2013,111
1999,UKF2,2013,124
1999,UKF3,2013,13
1999,UKG1,2013,83
1999,UKG2,2013,51
1999,UKG3,2013,147
1999,UKH1,2013,187
1999,UKH2,2013,189
1999,UKH3,2013,73
1999,UKI3,2013,1119
1999,UKI4,2013,329
1999,UKI5,2013,56
1999,UKI6,2013,65
1999,UKI7,2013,256
1999,UKJ1,2013,388
1999,UKJ2,2013,269
1999,UKJ3,2013,118
1999,UKJ4,2013,79
1999,UKK1,2013,142
1999,UKK2,2013,51
1999,UKK3,2013,20
1999,UKK4,2013,32
1999,UKL1,2013,37
1999,UKL2,2013,33
1999,UKM2,2013,108
1999,UKM3,2013,64
1999,UKM5,2013,20
1999,UKM6,2013,11
1999,UKN0,2013,35
1998,UKC1,2013,11
1998,UKC2,2013,25
1998,UKD1,2013,11
1998,UKD3,2013,126
1998,UKD4,2013,54
1998,UKD6,2013,46
1998,UKD7,2013,50
1998,UKE1,2013,37
1998,UKE2,2013,25
1998,UKE3,2013,48
1998,UKE4,2013,129
1998,UKF1,2013,102
1998,UKF2,2013,89
1998,UKF3,2013,15
1998,UKG1,2013,59
1998,UKG2,2013,55
1998,UKG3,2013,120
1998,UKH1,2013,159
1998,UKH2,2013,132
1998,UKH3,2013,62
1998,UKI3,2013,826
1998,UKI4,2013,209
1998,UKI5,2013,34
1998,UKI6,2013,50
1998,UKI7,2013,217
1998,UKJ1,2013,325
1998,UKJ2,2013,204
1998,UKJ3,2013,102
1998,UKJ4,2013,67
1998,UKK1,2013,97
1998,UKK2,2013,37
1998,UKK3,2013,14
1998,UKK4,2013,8
1998,UKL1,2013,15
1998,UKL2,2013,25
1998,UKM2,2013,119
1998,UKM3,2013,70
1998,UKM5,2013,7
1998,UKM6,2013,3
1998,UKN0,2013,21
1997,UKC1,2013,8
1997,UKC2,2013,17
1997,UKD1,2013,17
1997,UKD3,2013,130
1997,UKD4,2013,52
1997,UKD6,2013,41
1997,UKD7,2013,34
1997,UKE1,2013,24
1997,UKE2,2013,22
1997,UKE3,2013,37
1997,UKE4,2013,79
1997,UKF1,2013,90
1997,UKF2,2013,70
1997,UKF3,2013,9
1997,UKG1,2013,48
1997,UKG2,2013,51
1997,UKG3,2013,116
1997,UKH1,2013,120
1997,UKH2,2013,164
1997,UKH3,2013,40
1997,UKI3,2013,596
1997,UKI4,2013,195
1997,UKI5,2013,37
1997,UKI6,2013,51
1997,UKI7,2013,222
1997,UKJ1,2013,277
1997,UKJ2,2013,203
1997,UKJ3,2013,91
1997,UKJ4,2013,49
1997,UKK1,2013,95
1997,UKK2,2013,26
1997,UKK3,2013,9
1997,UKK4,2013,11
1997,UKL1,2013,31
1997,UKL2,2013,19
1997,UKM2,2013,66
1997,UKM3,2013,68
1997,UKM5,2013,6
1997,UKM6,2013,4
1997,UKN0,2013,25
1996,UKC1,2013,20
1996,UKC2,2013,20
1996,UKD1,2013,19
1996,UKD3,2013,189
1996,UKD4,2013,66
1996,UKD6,2013,54
1996,UKD7,2013,49
1996,UKE1,2013,31
1996,UKE2,2013,59
1996,UKE3,2013,55
1996,UKE4,2013,142
1996,UKF1,2013,118
1996,UKF2,2013,183
1996,UKF3,2013,18
1996,UKG1,2013,102
1996,UKG2,2013,76
1996,UKG3,2013,177
1996,UKH1,2013,181
1996,UKH2,2013,262
1996,UKH3,2013,54
1996,UKI3,2013,1058
1996,UKI4,2013,248
1996,UKI5,2013,43
1996,UKI6,2013,72
1996,UKI7,2013,327
1996,UKJ1,2013,395
1996,UKJ2,2013,262
1996,UKJ3,2013,98
1996,UKJ4,2013,84
1996,UKK1,2013,111
1996,UKK2,2013,63
1996,UKK3,2013,6
1996,UKK4,2013,34
1996,UKL1,2013,25
1996,UKL2,2013,33
1996,UKM2,2013,205
1996,UKM3,2013,130
1996,UKM5,2013,16
1996,UKM6,2013,30
1996,UKN0,2013,53
