lep_id,lep_year,year,value,variable,description,unit,lep_name
E37000019,2014,2016,620.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Lancashire
E37000019,2017,2017,690.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Lancashire
E37000019,2017,2018,695.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Lancashire
E37000020,2014,2014,2255.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leeds City Region
E37000020,2014,2015,2285.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leeds City Region
E37000020,2014,2016,2255.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leeds City Region
E37000020,2017,2017,2310.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leeds City Region
E37000020,2017,2018,2370.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leeds City Region
E37000021,2014,2014,1225.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leicester and Leicestershire
E37000021,2014,2015,1255.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leicester and Leicestershire
E37000021,2014,2016,1170.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leicester and Leicestershire
E37000021,2017,2017,1070.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leicester and Leicestershire
E37000021,2017,2018,1135.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Leicester and Leicestershire
E37000022,2014,2014,1010.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Liverpool City Region
E37000022,2014,2015,970.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Liverpool City Region
E37000022,2014,2016,1065.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Liverpool City Region
E37000022,2017,2017,1155.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Liverpool City Region
E37000022,2017,2018,1210.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Liverpool City Region
E37000023,2014,2014,7155.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,London
E37000023,2014,2015,7290.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,London
E37000023,2014,2016,7480.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,London
E37000023,2017,2017,7500.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,London
E37000023,2017,2018,7925.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,London
E37000024,2014,2014,445.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,New Anglia
E37000024,2014,2015,440.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,New Anglia
E37000024,2014,2016,465.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,New Anglia
E37000024,2017,2017,470.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,New Anglia
E37000024,2017,2018,540.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,New Anglia
E37000025,2014,2014,1540.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,North East
E37000025,2014,2015,1570.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,North East
E37000025,2014,2016,1580.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,North East
E37000025,2017,2017,1585.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,North East
E37000025,2017,2018,1615.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,North East
E37000026,2014,2014,35.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Northamptonshire
E37000026,2014,2015,25.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Northamptonshire
E37000026,2014,2016,25.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Northamptonshire
E37000027,2014,2014,2210.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Oxfordshire
E37000027,2014,2015,2455.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Oxfordshire
E37000027,2014,2016,2475.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Oxfordshire
E37000027,2017,2017,2345.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Oxfordshire
E37000027,2017,2018,2390.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Oxfordshire
E37000029,2014,2014,1625.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Solent
E37000029,2014,2015,1590.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Solent
E37000029,2014,2016,1550.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Solent
E37000029,2017,2017,1510.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Solent
E37000029,2017,2018,1475.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Solent
E37000030,2014,2014,860.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East
E37000030,2014,2015,865.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East
E37000030,2014,2016,830.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East
E37000030,2017,2017,865.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East
E37000030,2017,2018,935.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East
E37000031,2014,2014,785.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East Midlands
E37000031,2014,2015,745.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East Midlands
E37000031,2014,2016,695.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East Midlands
E37000032,2014,2014,200.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Stoke-on-Trent and Staffordshire
E37000032,2014,2015,185.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Stoke-on-Trent and Staffordshire
E37000032,2014,2016,210.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Stoke-on-Trent and Staffordshire
E37000032,2017,2017,160.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Stoke-on-Trent and Staffordshire
E37000032,2017,2018,155.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Stoke-on-Trent and Staffordshire
E37000034,2014,2014,45.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Tees Valley
E37000034,2014,2015,45.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Tees Valley
E37000034,2014,2016,55.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Tees Valley
