year,nuts_id,nuts_year_spec,net_migration_rate_international
2009,UKC13,2016,-0.59
2010,UKC13,2016,0.07
2011,UKC13,2016,-0.55
2012,UKC13,2016,0.03
2013,UKC13,2016,-0.57
2014,UKC13,2016,0.39
2015,UKC13,2016,1.45
2016,UKC13,2016,0.07
2017,UKC13,2016,1.59
2018,UKC13,2016,0.69
2009,UKF11,2016,8.52
2010,UKF11,2016,3.8
2011,UKF11,2016,1.0
2012,UKF11,2016,2.03
2013,UKF11,2016,3.76
2014,UKF11,2016,3.95
2015,UKF11,2016,5.38
2016,UKF11,2016,4.08
2017,UKF11,2016,2.23
2018,UKF11,2016,3.96
2009,UKN10,2016,-2.46
2010,UKN10,2016,-3.12
2011,UKN10,2016,-2.09
2012,UKN10,2016,-2.26
2013,UKN10,2016,-1.35
2014,UKN10,2016,-1.49
2015,UKN10,2016,-0.5
2016,UKN10,2016,-1.24
2017,UKN10,2016,-0.74
2018,UKN10,2016,0.15
2009,UKK43,2016,1.6
2010,UKK43,2016,3.36
2011,UKK43,2016,3.28
2012,UKK43,2016,3.64
2013,UKK43,2016,3.84
2014,UKK43,2016,4.38
2015,UKK43,2016,2.77
2016,UKK43,2016,2.18
2017,UKK43,2016,4.14
2018,UKK43,2016,1.52
2009,UKG36,2016,0.4
2010,UKG36,2016,1.1
2011,UKG36,2016,0.73
2012,UKG36,2016,0.28
2013,UKG36,2016,0.77
2014,UKG36,2016,1.19
2015,UKG36,2016,1.68
2016,UKG36,2016,1.34
2017,UKG36,2016,1.13
2018,UKG36,2016,1.19
2009,UKM92,2016,-1.07
2010,UKM92,2016,0.1
2011,UKM92,2016,-1.86
2012,UKM92,2016,-2.23
2013,UKM92,2016,-1.78
2014,UKM92,2016,-0.48
2015,UKM92,2016,0.08
2016,UKM92,2016,-0.78
2017,UKM92,2016,-1.21
2018,UKM92,2016,-0.74
2009,UKC14,2016,2.27
2010,UKC14,2016,2.09
2011,UKC14,2016,1.41
2012,UKC14,2016,2.09
2013,UKC14,2016,1.5
2014,UKC14,2016,1.75
2015,UKC14,2016,2.36
2016,UKC14,2016,1.79
2017,UKC14,2016,4.16
2018,UKC14,2016,3.34
2009,UKI73,2016,9.1
2010,UKI73,2016,13.34
2011,UKI73,2016,4.11
2012,UKI73,2016,6.81
2013,UKI73,2016,10.39
2014,UKI73,2016,12.64
2015,UKI73,2016,11.7
2016,UKI73,2016,6.03
2017,UKI73,2016,10.42
2018,UKI73,2016,7.36
2009,UKM93,2016,-0.73
2010,UKM93,2016,-0.15
2011,UKM93,2016,-1.37
2012,UKM93,2016,-1.53
2013,UKM93,2016,-1.33
2014,UKM93,2016,-0.53
2015,UKM93,2016,-0.3
2016,UKM93,2016,-0.54
2017,UKM93,2016,-0.82
2018,UKM93,2016,-0.59
2009,UKD12,2016,-0.34
2010,UKD12,2016,0.17
2011,UKD12,2016,1.18
2012,UKD12,2016,0.36
2013,UKD12,2016,0.26
2014,UKD12,2016,1.32
2015,UKD12,2016,1.63
2016,UKD12,2016,-0.01
2017,UKD12,2016,0.11
2018,UKD12,2016,1.83
2009,UKF12,2016,0.51
2010,UKF12,2016,0.79
2011,UKF12,2016,0.21
2012,UKF12,2016,0.42
2013,UKF12,2016,1.21
2014,UKF12,2016,1.1
2015,UKF12,2016,1.38
2016,UKF12,2016,1.39
2017,UKF12,2016,0.53
2018,UKF12,2016,0.79
2009,UKM81,2016,0.06
2010,UKM81,2016,-0.18
2011,UKM81,2016,-0.96
2012,UKM81,2016,-1.33
2013,UKM81,2016,-1.04
2014,UKM81,2016,-0.79
2015,UKM81,2016,0.64
2016,UKM81,2016,-0.03
2017,UKM81,2016,-1.12
2018,UKM81,2016,-0.25
2009,UKJ44,2016,4.84
2010,UKJ44,2016,3.78
2011,UKJ44,2016,3.93
2012,UKJ44,2016,2.63
2013,UKJ44,2016,4.45
2014,UKJ44,2016,5.63
2015,UKJ44,2016,5.68
2016,UKJ44,2016,4.29
2017,UKJ44,2016,3.84
2018,UKJ44,2016,4.1
2009,UKD46,2016,0.67
2010,UKD46,2016,1.61
2011,UKD46,2016,0.85
2012,UKD46,2016,0.73
2013,UKD46,2016,1.81
2014,UKD46,2016,2.32
2015,UKD46,2016,3.04
2016,UKD46,2016,1.92
2017,UKD46,2016,4.96
2018,UKD46,2016,3.92
2009,UKM73,2016,1.08
2010,UKM73,2016,1.35
2011,UKM73,2016,0.81
2012,UKM73,2016,-0.52
2013,UKM73,2016,-0.0
2014,UKM73,2016,0.82
2015,UKM73,2016,2.05
2016,UKM73,2016,0.78
2017,UKM73,2016,1.14
2018,UKM73,2016,1.53
2009,UKD71,2016,0.22
2010,UKD71,2016,0.56
2011,UKD71,2016,0.27
2012,UKD71,2016,-0.07
2013,UKD71,2016,0.33
2014,UKD71,2016,0.62
2015,UKD71,2016,1.29
2016,UKD71,2016,0.65
2017,UKD71,2016,0.61
2018,UKD71,2016,1.11
2009,UKE12,2016,1.4
2010,UKE12,2016,1.98
2011,UKE12,2016,0.89
2012,UKE12,2016,0.76
2013,UKE12,2016,0.97
2014,UKE12,2016,0.99
2015,UKE12,2016,0.69
2016,UKE12,2016,0.3
2017,UKE12,2016,1.12
2018,UKE12,2016,0.59
2009,UKJ26,2016,0.83
2010,UKJ26,2016,0.59
2011,UKJ26,2016,-0.91
2012,UKJ26,2016,-0.09
2013,UKJ26,2016,1.42
2014,UKJ26,2016,1.56
2015,UKJ26,2016,2.08
2016,UKJ26,2016,1.22
2017,UKJ26,2016,2.14
2018,UKJ26,2016,1.65
2009,UKJ22,2016,0.23
2010,UKJ22,2016,-1.46
2011,UKJ22,2016,-0.23
2012,UKJ22,2016,0.74
2013,UKJ22,2016,2.27
2014,UKJ22,2016,2.94
2015,UKJ22,2016,4.08
2016,UKJ22,2016,3.05
2017,UKJ22,2016,1.8
2018,UKJ22,2016,1.12
2009,UKI54,2016,12.72
2010,UKI54,2016,8.5
2011,UKI54,2016,5.82
2012,UKI54,2016,5.45
2013,UKI54,2016,9.35
2014,UKI54,2016,11.07
2015,UKI54,2016,11.52
2016,UKI54,2016,9.18
2017,UKI54,2016,9.2
2018,UKI54,2016,7.5
2009,UKH34,2016,5.34
2010,UKH34,2016,3.36
2011,UKH34,2016,2.13
2012,UKH34,2016,2.89
2013,UKH34,2016,3.5
2014,UKH34,2016,5.82
2015,UKH34,2016,3.9
2016,UKH34,2016,3.04
2017,UKH34,2016,2.39
2018,UKH34,2016,2.45
2009,UKH37,2016,0.41
2010,UKH37,2016,0.32
2011,UKH37,2016,0.51
2012,UKH37,2016,0.49
2013,UKH37,2016,1.61
2014,UKH37,2016,1.78
2015,UKH37,2016,1.63
2016,UKH37,2016,1.25
2017,UKH37,2016,1.38
2018,UKH37,2016,1.05
2009,UKM76,2016,1.02
2010,UKM76,2016,1.78
2011,UKM76,2016,-0.18
2012,UKM76,2016,-0.81
2013,UKM76,2016,0.1
2014,UKM76,2016,0.8
2015,UKM76,2016,0.97
2016,UKM76,2016,0.63
2017,UKM76,2016,0.12
2018,UKM76,2016,0.25
2009,UKN16,2016,3.22
2010,UKN16,2016,1.19
2011,UKN16,2016,-0.6
2012,UKN16,2016,-0.11
2013,UKN16,2016,1.7
2014,UKN16,2016,0.41
2015,UKN16,2016,1.07
2016,UKN16,2016,0.97
2017,UKN16,2016,1.82
2018,UKN16,2016,3.48
2009,UKL23,2016,1.61
2010,UKL23,2016,1.56
2011,UKL23,2016,0.1
2012,UKL23,2016,1.74
2013,UKL23,2016,0.56
