year,nuts_id,nuts_year_spec,total_stem_postgraduates
2015,UKL22,2013,885.0
2016,UKL22,2013,900.0
2017,UKL22,2013,945.0
2018,UKL22,2016,945.0
2014,UKL23,2010,20.0
2015,UKL23,2013,15.0
2016,UKL23,2013,10.0
2017,UKL23,2013,5.0
2018,UKL23,2016,10.0
2014,UKM21,2010,315.0
2015,UKM21,2013,295.0
2016,UKM21,2013,230.0
2017,UKM21,2013,230.0
2015,UKM22,2013,445.0
2016,UKM22,2013,430.0
2017,UKM22,2013,445.0
2014,UKM23,2010,5.0
2015,UKM23,2013,5.0
2016,UKM23,2013,5.0
2017,UKM23,2013,0.0
2014,UKM25,2010,1770.0
2015,UKM25,2013,1965.0
2016,UKM25,2013,2000.0
2017,UKM25,2013,2070.0
2014,UKM27,2010,110.0
2015,UKM27,2013,105.0
2016,UKM27,2013,105.0
2017,UKM27,2013,110.0
2014,UKM34,2010,1780.0
2015,UKM34,2013,1850.0
2016,UKM34,2013,1965.0
2017,UKM34,2013,1980.0
2014,UKM35,2010,140.0
2015,UKM35,2013,140.0
2016,UKM35,2013,155.0
2017,UKM35,2013,165.0
2014,UKM50,2010,445.0
2015,UKM50,2013,470.0
2016,UKM50,2013,480.0
2017,UKM50,2013,500.0
2018,UKM50,2016,460.0
2014,UKM62,2010,10.0
2015,UKM62,2013,20.0
2016,UKM62,2013,30.0
2017,UKM62,2013,60.0
2018,UKM62,2016,55.0
2018,UKM71,2016,265.0
2018,UKM72,2016,455.0
2018,UKM73,2016,5.0
2018,UKM75,2016,2090.0
2018,UKM77,2016,105.0
2018,UKM82,2016,2055.0
2018,UKM83,2016,140.0
2014,UKN01,2010,595.0
2015,UKN01,2013,615.0
2016,UKN01,2013,605.0
2017,UKN01,2013,590.0
2014,UKN04,2010,235.0
2015,UKN04,2013,235.0
2016,UKN04,2013,225.0
2017,UKN04,2013,325.0
2018,UKN06,2016,565.0
2018,UKN12,2016,310.0
