year,nuts_id,nuts_year_spec,area_university_site
2018,UKJ32,2016,130.03199999999998
2015,UKJ36,2013,13.0
2016,UKJ36,2013,13.0
2017,UKJ36,2013,13.0
2018,UKJ36,2016,13.0
2015,UKJ44,2013,147.95
2016,UKJ44,2013,152.70000000000002
2017,UKJ44,2013,152.002
2018,UKJ44,2016,151.699
2015,UKK11,2013,297.312
2016,UKK11,2013,292.654
2017,UKK11,2013,285.018
2018,UKK11,2016,287.256
2015,UKK12,2013,199.30599999999998
2016,UKK12,2013,197.912
2017,UKK12,2013,174.488
2018,UKK12,2016,236.138
2015,UKK13,2013,61.894999999999996
2016,UKK13,2013,33.0
2017,UKK13,2013,33.0
2018,UKK13,2016,33.0
2015,UKK21,2013,21.16
2016,UKK21,2013,22.86
2017,UKK21,2013,22.310000000000002
2018,UKK21,2016,22.35
2015,UKK30,2013,23.251
2016,UKK30,2013,22.256
2017,UKK30,2013,22.256
2018,UKK30,2016,22.256
2015,UKK41,2013,32.51
2016,UKK41,2013,32.51
2017,UKK41,2013,32.57
2018,UKK41,2016,33.519999999999996
2015,UKK43,2013,107.67
2016,UKK43,2013,107.67
2017,UKK43,2013,107.67
2018,UKK43,2016,107.67
2015,UKL12,2013,345.0
2016,UKL12,2013,345.0
2017,UKL12,2013,345.0
2018,UKL12,2016,359.48
2015,UKL14,2013,178.69
2016,UKL14,2013,188.0
2017,UKL14,2013,188.0
2018,UKL14,2016,1762.62
2015,UKL15,2013,49.0
2016,UKL15,2013,49.0
2017,UKL15,2013,42.286
2018,UKL15,2016,42.286
2015,UKL18,2013,75.77
2016,UKL18,2013,49.246
2017,UKL18,2013,70.083
2018,UKL18,2016,70.16
2015,UKL22,2013,95.45
2016,UKL22,2013,95.59
2017,UKL22,2013,96.27
2018,UKL22,2016,96.48
2015,UKL23,2013,62.13
2016,UKL23,2013,62.13
2017,UKL23,2013,57.42
2018,UKL23,2016,58.55
2015,UKM21,2013,44.066
2016,UKM21,2013,42.6
2017,UKM21,2013,42.6
2015,UKM22,2013,53.687
2016,UKM22,2013,53.687
2017,UKM22,2013,53.687
2015,UKM23,2013,14.273
2016,UKM23,2013,14.273
2017,UKM23,2013,14.273
2015,UKM25,2013,455.46
2016,UKM25,2013,472.64
2017,UKM25,2013,472.64
2015,UKM27,2013,135.2
2016,UKM27,2013,135.2
2017,UKM27,2013,135.2
2015,UKM34,2013,326.3
2016,UKM34,2013,325.64599999999996
2017,UKM34,2013,325.64599999999996
2015,UKM35,2013,41.977
2016,UKM35,2013,41.977
2017,UKM35,2013,41.977
2015,UKM50,2013,145.723
2016,UKM50,2013,138.272
2017,UKM50,2013,138.272
2018,UKM50,2016,138.073
2015,UKM62,2013,98.009
2016,UKM62,2013,143.0
2017,UKM62,2013,144.02
2018,UKM62,2016,53.457
2018,UKM71,2016,42.6
2018,UKM72,2016,53.687
2018,UKM73,2016,14.273
2018,UKM75,2016,472.64
2018,UKM77,2016,135.2
2018,UKM82,2016,325.64599999999996
2018,UKM83,2016,48.101
2015,UKN01,2013,59.4
2016,UKN01,2013,59.4
2017,UKN01,2013,59.5
2015,UKN04,2013,213.0
2016,UKN04,2013,202.229
2017,UKN04,2013,202.229
2018,UKN06,2016,59.9
2018,UKN12,2016,202.229
