,year,geo_type,geo_nm,geo_cd,SIC4,value,cluster_name
158,2016,nuts 2013 level 2,Highlands and Islands,UKM6,0170,20,manufacture_food
159,2016,nuts 2013 level 2,Northern Ireland,UKN0,0170,5,manufacture_food
160,2016,nuts 2013 level 2,Tees Valley and Durham,UKC1,0210,20,primary_forestry
161,2016,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0210,75,primary_forestry
162,2016,nuts 2013 level 2,Cumbria,UKD1,0210,65,primary_forestry
163,2016,nuts 2013 level 2,Greater Manchester,UKD3,0210,20,primary_forestry
164,2016,nuts 2013 level 2,Lancashire,UKD4,0210,20,primary_forestry
165,2016,nuts 2013 level 2,Cheshire,UKD6,0210,30,primary_forestry
166,2016,nuts 2013 level 2,Merseyside,UKD7,0210,5,primary_forestry
167,2016,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0210,15,primary_forestry
168,2016,nuts 2013 level 2,North Yorkshire,UKE2,0210,75,primary_forestry
169,2016,nuts 2013 level 2,South Yorkshire,UKE3,0210,5,primary_forestry
170,2016,nuts 2013 level 2,West Yorkshire,UKE4,0210,20,primary_forestry
171,2016,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0210,40,primary_forestry
172,2016,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0210,35,primary_forestry
173,2016,nuts 2013 level 2,Lincolnshire,UKF3,0210,30,primary_forestry
174,2016,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0210,75,primary_forestry
175,2016,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0210,75,primary_forestry
176,2016,nuts 2013 level 2,West Midlands,UKG3,0210,10,primary_forestry
177,2016,nuts 2013 level 2,East Anglia,UKH1,0210,85,primary_forestry
178,2016,nuts 2013 level 2,Bedfordshire and Hertfordshire,UKH2,0210,40,primary_forestry
179,2016,nuts 2013 level 2,Essex,UKH3,0210,40,primary_forestry
180,2016,nuts 2013 level 2,Inner London - West,UKI3,0210,30,primary_forestry
181,2016,nuts 2013 level 2,Inner London - East,UKI4,0210,20,primary_forestry
182,2016,nuts 2013 level 2,Outer London - East and North East,UKI5,0210,10,primary_forestry
183,2016,nuts 2013 level 2,Outer London - South,UKI6,0210,20,primary_forestry
184,2016,nuts 2013 level 2,Outer London - West and North West,UKI7,0210,15,primary_forestry
185,2016,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0210,135,primary_forestry
186,2016,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0210,135,primary_forestry
187,2016,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0210,80,primary_forestry
188,2016,nuts 2013 level 2,Kent,UKJ4,0210,60,primary_forestry
189,2016,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0210,175,primary_forestry
190,2016,nuts 2013 level 2,Dorset and Somerset,UKK2,0210,80,primary_forestry
191,2016,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0210,20,primary_forestry
