year,nuts_id,nuts_year_spec,total_ukri_funding
2019,UKK1,2016,369492.47
2019,UKK2,2016,61486.43
2019,UKK3,2016,51239.2
2019,UKK4,2016,228389.66
2019,UKL1,2016,353337.17
2019,UKL2,2016,589169.32
2019,UKM5,2016,264573.61
2019,UKM6,2016,1334541.22
2019,UKM7,2016,311655.59
2019,UKM8,2016,449443.21
2019,UKN0,2016,200031.67
