year,lep_id,lep_year_spec,economic_complexity_index
2016,UKH36,2013,0.038
2016,UKH37,2013,-0.0161
2016,UKI31,2013,0.1724
2016,UKI32,2013,0.1651
2016,UKI33,2013,0.1678
2016,UKI34,2013,0.2076
2016,UKI41,2013,0.1743
2016,UKI42,2013,0.1483
2016,UKI43,2013,0.1967
2016,UKI44,2013,0.1563
2016,UKI45,2013,0.3246
2016,UKI51,2013,0.0654
2016,UKI52,2013,0.0169
2016,UKI53,2013,0.1373
2016,UKI54,2013,0.1195
2016,UKI61,2013,0.1781
2016,UKI62,2013,0.1137
2016,UKI63,2013,0.1631
2016,UKI71,2013,0.1954
2016,UKI72,2013,0.1574
2016,UKI73,2013,0.1681
2016,UKI74,2013,0.0989
2016,UKI75,2013,0.191
2016,UKJ11,2013,0.0761
2016,UKJ12,2013,0.0517
2016,UKJ13,2013,0.1111
2016,UKJ14,2013,0.037
2016,UKJ21,2013,0.1543
2016,UKJ22,2013,0.0356
2016,UKJ25,2013,0.1491
2016,UKJ26,2013,0.1176
2016,UKJ27,2013,-0.0
2016,UKJ28,2013,0.0599
2016,UKJ31,2013,-0.0233
2016,UKJ32,2013,0.0005
2016,UKJ34,2013,-0.032
2016,UKJ35,2013,0.0111
2016,UKJ36,2013,0.0216
2016,UKJ37,2013,0.0719
2016,UKJ41,2013,-0.0421
2016,UKJ43,2013,-0.0142
2016,UKJ44,2013,-0.0228
2016,UKJ45,2013,0.0052
2016,UKJ46,2013,0.0917
2016,UKK11,2013,0.0924
2016,UKK12,2013,0.0206
2016,UKK13,2013,-0.0116
2016,UKK14,2013,0.0284
2016,UKK15,2013,0.024
2016,UKK21,2013,0.0268
2016,UKK22,2013,-0.0347
2016,UKK23,2013,-0.0531
2016,UKK30,2013,-0.0617
2016,UKK41,2013,-0.0206
2016,UKK42,2013,-0.0014
2016,UKK43,2013,-0.0359
2016,UKL11,2013,-0.0534
2016,UKL12,2013,-0.0368
2016,UKL13,2013,-0.0643
2016,UKL14,2013,-0.0677
2016,UKL15,2013,-0.0496
2016,UKL16,2013,-0.0625
2016,UKL17,2013,-0.0436
2016,UKL18,2013,-0.0096
2016,UKL21,2013,-0.0664
2016,UKL22,2013,0.0631
2016,UKL23,2013,-0.054
2016,UKL24,2013,-0.0728
2016,UKM21,2013,-0.0642
2016,UKM22,2013,-0.0602
2016,UKM23,2013,-0.0666
2016,UKM24,2013,-0.0474
2016,UKM25,2013,0.1058
2016,UKM26,2013,-0.0495
2016,UKM27,2013,-0.0515
2016,UKM28,2013,-0.0394
2016,UKM31,2013,-0.0604
2016,UKM32,2013,-0.0767
2016,UKM33,2013,-0.0687
2016,UKM34,2013,0.0431
2016,UKM35,2013,-0.0407
2016,UKM36,2013,-0.048
2016,UKM37,2013,-0.0363
2016,UKM38,2013,-0.0577
2016,UKM50,2013,-0.0203
2016,UKM61,2013,-0.0501
2016,UKM62,2013,-0.0615
2016,UKM63,2013,-0.0507
2016,UKM64,2013,-0.0401
2016,UKM65,2013,-0.0219
2016,UKM66,2013,-0.0537
2016,UKN01,2013,0.0367
2016,UKN02,2013,-0.0326
2016,UKN03,2013,-0.0643
2016,UKN04,2013,-0.0805
2016,UKN05,2013,-0.0736
