,year,nuts_id,nuts_year_spec,air_pollution_mean_pm10
351,2015,UKI6,2016,17.68112
352,2015,UKI7,2016,20.09696
353,2015,UKJ1,2016,19.31251
354,2015,UKJ2,2016,21.081570000000006
355,2015,UKJ3,2016,20.48713
356,2015,UKJ4,2016,19.30989
357,2015,UKK1,2016,20.0244
358,2015,UKK2,2016,17.99994
359,2015,UKK3,2016,21.54124
360,2015,UKK4,2016,20.756120000000006
361,2015,UKL1,2016,20.54782
362,2015,UKL2,2016,19.06514
363,2015,UKM5,2016,15.42455
364,2015,UKM6,2016,15.06364
365,2015,UKM7,2016,18.16297
366,2015,UKM8,2016,14.06257
367,2015,UKM9,2016,14.98022
368,2015,UKN0,2016,15.67224
369,2016,UKC1,2016,14.74104
370,2016,UKC2,2016,14.23
371,2016,UKD1,2016,13.88901
372,2016,UKD3,2016,17.70834
373,2016,UKD4,2016,16.89963
374,2016,UKD6,2016,16.41668
375,2016,UKD7,2016,17.36479
376,2016,UKE1,2016,19.38174
377,2016,UKE2,2016,18.7124
378,2016,UKE3,2016,18.80491
379,2016,UKE4,2016,18.84865
380,2016,UKF1,2016,20.54292
381,2016,UKF2,2016,20.58209
382,2016,UKF3,2016,20.08674
383,2016,UKG1,2016,19.4191
384,2016,UKG2,2016,19.09665
385,2016,UKG3,2016,20.15596
386,2016,UKH1,2016,20.49494
387,2016,UKH2,2016,19.55615
388,2016,UKH3,2016,21.41178
389,2016,UKI3,2016,20.80101
390,2016,UKI4,2016,20.96316
391,2016,UKI5,2016,20.9595
392,2016,UKI6,2016,19.38563
393,2016,UKI7,2016,19.86921
394,2016,UKJ1,2016,20.77365
395,2016,UKJ2,2016,20.03112
396,2016,UKJ3,2016,20.44543
397,2016,UKJ4,2016,20.97232
398,2016,UKK1,2016,18.81891
399,2016,UKK2,2016,18.33452
400,2016,UKK3,2016,18.70713
401,2016,UKK4,2016,17.65452
402,2016,UKL1,2016,19.41292
403,2016,UKL2,2016,17.46152
404,2016,UKM5,2016,13.54409
405,2016,UKM6,2016,11.50442
406,2016,UKM7,2016,14.47043
407,2016,UKM8,2016,12.88488
408,2016,UKM9,2016,13.23749
409,2016,UKN0,2016,17.347820000000002
410,2017,UKC1,2016,15.59401
411,2017,UKC2,2016,15.13324
412,2017,UKD1,2016,13.07683
413,2017,UKD3,2016,15.60775
414,2017,UKD4,2016,15.11899
415,2017,UKD6,2016,14.78325
416,2017,UKD7,2016,15.29522
417,2017,UKE1,2016,19.60917
418,2017,UKE2,2016,16.674879999999998
419,2017,UKE3,2016,17.33876
420,2017,UKE4,2016,16.793210000000002
421,2017,UKF1,2016,19.063370000000006
422,2017,UKF2,2016,19.53225
423,2017,UKF3,2016,18.82478
424,2017,UKG1,2016,18.59296
425,2017,UKG2,2016,18.05821
426,2017,UKG3,2016,18.83002
427,2017,UKH1,2016,20.07136
428,2017,UKH2,2016,19.27649
429,2017,UKH3,2016,20.64415
430,2017,UKI3,2016,20.43419
431,2017,UKI4,2016,20.27398
432,2017,UKI5,2016,20.345270000000006
433,2017,UKI6,2016,18.17014
434,2017,UKI7,2016,19.21269
435,2017,UKJ1,2016,19.92124
436,2017,UKJ2,2016,19.01974
437,2017,UKJ3,2016,17.98189
438,2017,UKJ4,2016,21.52501
439,2017,UKK1,2016,18.10789
440,2017,UKK2,2016,16.982789999999998
441,2017,UKK3,2016,18.14315
442,2017,UKK4,2016,16.26595
443,2017,UKL1,2016,15.34229
444,2017,UKL2,2016,15.598679999999998
445,2017,UKM5,2016,12.29587
446,2017,UKM6,2016,10.86846
447,2017,UKM7,2016,14.39279
448,2017,UKM8,2016,12.6574
449,2017,UKM9,2016,13.14011
450,2017,UKN0,2016,14.99293
